herb_name	phen_name
Camellia sinensis	Mild cognitive disorder
Camellia sinensis	Muscle Rigidity
Camellia sinensis	Deglutition Disorders
Camellia sinensis	Constipation
Camellia sinensis	Fatigue
Camellia sinensis	Pain
Theobroma cacao	Mild cognitive disorder
Theobroma cacao	REM Sleep Behavior Disorder
Theobroma cacao	Constipation
Theobroma cacao	Pain
Solanum lycopersicum	Mild cognitive disorder
Solanum lycopersicum	Dyskinetic syndrome
Solanum lycopersicum	Fatigue
Solanum lycopersicum	Pain
Solanum tuberosum	Bradykinesia
Solanum tuberosum	Dyskinetic syndrome
Solanum tuberosum	Constipation
Solanum tuberosum	Pain
Zea mays	Mild cognitive disorder
Zea mays	Deglutition Disorders
Zea mays	Constipation
Zea mays	Pain
Carica papaya	Dyskinetic syndrome
Carica papaya	Constipation
Carica papaya	Pain
Prunus persica	Muscle Rigidity
Prunus persica	Deglutition Disorders
Prunus persica	Constipation
Prunus persica	Sense of smell impaired
Prunus persica	Pain
